,Earnings,Earnings,Earnings,Earnings,Earnings,Players,Players,Players,Players,Players,Tournaments,Tournaments,Tournaments,Tournaments,Tournaments
,sum,mean,median,min,max,sum,mean,median,min,max,sum,mean,median,min,max
Tekken Tag Tournament,0.0,0.0,0.0,0.0,0.0,9,3.0,3.0,3,3,3,1.0,1.0,1,1
Tekken Tag Tournament 2,125965.7,3229.8897435897434,560.0,0.0,44470.0,371,9.512820512820513,8.0,3,34,138,3.5384615384615383,3.0,1,8
Tetr.io,2514.5,419.0833333333333,310.235,200.0,951.92,23,3.8333333333333335,3.5,3,6,9,1.5,1.0,1,3
Tetris,16026.38,2289.482857142857,1500.0,125.0,10000.0,32,4.571428571428571,2.0,2,16,7,1.0,1.0,1,1
Tetris Ultimate,221.0,221.0,221.0,221.0,221.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
The Division 2,27250.0,27250.0,27250.0,27250.0,27250.0,40,40.0,40.0,40,40,2,2.0,2.0,2,2
The Elder Scrolls: Legends,5000.0,5000.0,5000.0,5000.0,5000.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
The Last Blade 2,20.0,20.0,20.0,20.0,20.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Them's Fightin' Herds,580.0,193.33333333333334,190.0,50.0,340.0,11,3.6666666666666665,3.0,3,5,4,1.3333333333333333,1.0,1,2
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,1555.01,518.3366666666667,220.0,45.0,1290.01,14,4.666666666666667,3.0,3,8,3,1.0,1.0,1,1
TrackMania 2: Canyon,22098.74,1227.707777777778,528.6400000000001,0.0,10000.0,45,2.5,3.0,1,3,36,2.0,1.0,1,5
TrackMania 2: Stadium,197548.08000000002,2863.015652173913,1603.0,24.63,15000.0,978,14.173913043478262,9.0,1,92,280,4.057971014492754,3.0,1,21
TrackMania Nations,93381.66,15563.61,10150.75,274.0,40000.0,27,4.5,3.5,2,10,7,1.1666666666666667,1.0,1,2
TrackMania Nations Forever,167386.65,3416.054081632653,2176.89,56.3,23000.0,254,5.183673469387755,4.0,1,23,73,1.489795918367347,1.0,1,3
Trackmania (2020),10036.6,3345.5333333333333,3313.35,1219.41,5503.84,70,23.333333333333332,22.0,14,34,26,8.666666666666666,8.0,7,11
Trackmania 2: Valley,779.3399999999999,389.66999999999996,389.66999999999996,238.68,540.66,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Trackmania Turbo,679.41,339.705,339.705,112.5,566.91,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Trackmania United,1027.5,1027.5,1027.5,1027.5,1027.5,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Turbo Racing League,1000000.0,333333.3333333333,312500.0,125000.0,562500.0,22,7.333333333333333,6.0,6,10,9,3.0,2.0,2,5
Twinkle Star Sprites,100.0,100.0,100.0,100.0,100.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
UNO,20000.0,20000.0,20000.0,20000.0,20000.0,16,16.0,16.0,16,16,2,2.0,2.0,2,2
Ultimate Marvel vs. Capcom 3,116733.16,1823.955625,950.0,0.0,14345.0,585,9.140625,8.0,2,36,169,2.640625,2.0,1,10
Ultimate Mortal Kombat 3,150.0,75.0,75.0,0.0,150.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Ultra Fight Da! Kyanta 2,320.0,320.0,320.0,320.0,320.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Ultra Street Fighter IV,816713.46,22686.485,3710.0,0.0,255551.5,624,17.333333333333332,16.5,3,46,229,6.361111111111111,5.5,1,15
Umineko: Golden Fantasia,140.0,70.0,70.0,50.0,90.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Uncharted 4: A Thief's End,46235.07,46235.07,46235.07,46235.07,46235.07,5,5.0,5.0,5,5,1,1.0,1.0,1,1
Under Night In-Birth EXE: Late,6025.76,354.45647058823533,280.0,0.0,1270.0,94,5.529411764705882,4.0,3,12,23,1.3529411764705883,1.0,1,2
Under Night In-Birth EXE: Late[st],46553.33,2327.6665000000003,1866.47,110.58,12132.59,178,8.9,8.0,3,17,34,1.7,2.0,1,3
Under Night In-Birth Exe:Late[cl-r],1050.0,525.0,525.0,50.0,1000.0,7,3.5,3.5,3,4,2,1.0,1.0,1,1
Unreal Tournament,89000.0,44500.0,44500.0,43000.0,46000.0,17,8.5,8.5,8,9,3,1.5,1.5,1,2
Unreal Tournament (2016),5084.97,726.4242857142857,314.63,146.42,1871.41,108,15.428571428571429,9.0,3,53,8,1.1428571428571428,1.0,1,2
Unreal Tournament 2003,147473.91,18434.23875,13849.525,1700.0,49000.0,45,5.625,5.5,0,16,14,1.75,1.0,1,4
Unreal Tournament 2004,133969.33000000002,16746.166250000002,11000.0,944.65,50000.0,57,7.125,4.0,3,25,10,1.25,1.0,1,3
Unreal Tournament 3,104977.82,52488.91,52488.91,165.0,104812.82,7,3.5,3.5,3,4,4,2.0,2.0,1,3
VALORANT,1237525.03,206254.17166666666,194952.645,60580.8,358980.03,2438,406.3333333333333,301.5,227,706,243,40.5,41.5,20,56
Vainglory,797421.19,53161.41266666666,60000.0,327.36,131040.0,514,34.266666666666666,24.0,6,90,35,2.3333333333333335,1.0,1,6
Vampire Savior,9185.95,574.121875,490.0,30.0,1370.0,69,4.3125,3.0,3,8,18,1.125,1.0,1,2
Virtua Fighter 4: Evolution,0.0,0.0,0.0,0.0,0.0,6,3.0,3.0,3,3,2,1.0,1.0,1,1
Virtua Fighter 5,39830.0,9957.5,11125.0,80.0,17500.0,15,3.75,3.0,1,8,4,1.0,1.0,1,1
Virtua Fighter 5 Final Showdown,573.77,143.4425,152.615,0.0,268.54,30,7.5,5.5,3,16,6,1.5,1.5,1,2
WWE 2K20,50000.0,50000.0,50000.0,50000.0,50000.0,20,20.0,20.0,20,20,2,2.0,2.0,2,2
WarCraft III,5811479.73,29350.90772727273,18841.375,106.0,121907.97,3171,16.015151515151516,15.0,1,51,1335,6.742424242424242,6.0,1,27
WarCraft III: Reforged,314925.29,39365.66125,25829.510000000002,1250.0,122888.84,197,24.625,27.5,6,40,61,7.625,6.5,1,18
Warface,109555.0,54777.5,54777.5,46060.0,63495.0,35,17.5,17.5,15,20,2,1.0,1.0,1,1
"Warhammer 40,000: Dawn of War",79816.5,26605.5,35000.0,1816.5,43000.0,8,2.6666666666666665,3.0,2,3,3,1.0,1.0,1,1
Warparty,1000.0,1000.0,1000.0,1000.0,1000.0,4,4.0,4.0,4,4,1,1.0,1.0,1,1
Warsow,183.0,183.0,183.0,183.0,183.0,2,2.0,2.0,2,2,1,1.0,1.0,1,1
Windjammers,4172.16,417.216,205.0,40.0,1116.75,44,4.4,3.0,3,10,11,1.1,1.0,1,2
Wise Star 2,12000.0,12000.0,12000.0,12000.0,12000.0,3,3.0,3.0,3,3,1,1.0,1.0,1,1
Wolfenstein: Enemy Territory,140963.24,8810.2025,4571.71,86.37,50000.0,305,19.0625,18.0,6,30,18,1.125,1.0,1,2
World in Conflict,293338.23,36667.27875,20000.0,595.38,200000.0,48,6.0,0.0,0,25,9,1.125,1.0,1,2
World of Tanks,3656496.59,121883.21966666666,96744.82,745.55,352537.35,833,27.766666666666666,26.0,0,156,46,1.5333333333333334,1.0,1,7
World of Tanks Blitz,63330.0,10555.0,6665.0,0.0,30000.0,14,2.3333333333333335,0.0,0,14,6,1.0,1.0,1,1
World of WarCraft,4957837.61,86979.60719298247,60000.0,442.96,330000.0,1375,24.12280701754386,22.0,3,77,118,2.0701754385964914,2.0,1,6
Xonotic,5463.58,321.3870588235294,130.48,11.36,2720.37,337,19.823529411764707,20.0,8,34,24,1.411764705882353,1.0,1,4
Yu-Gi-Oh! Duel Links,48746.72,2565.616842105263,1769.56,12.97,7899.1,553,29.105263157894736,25.0,1,78,219,11.526315789473685,11.0,1,34
Zula,100000.0,100000.0,100000.0,100000.0,100000.0,20,20.0,20.0,20,20,1,1.0,1.0,1,1
chess24,1084696.09,216939.21800000002,156819.88,45400.0,450000.0,87,17.4,16.0,12,27,9,1.8,2.0,1,3
iRacing.com,971456.13,21587.914,15500.0,111.0,112000.0,1262,28.044444444444444,12.0,1,126,92,2.0444444444444443,2.0,1,5
osu!,23100.0,3300.0,4320.0,1620.0,5000.0,1430,204.28571428571428,239.0,86,255,7,1.0,1.0,1,1
rFactor,15083.56,3770.89,4620.86,1117.35,4724.49,99,24.75,29.5,10,30,4,1.0,1.0,1,1
rFactor 2,1222855.26,50952.3025,4738.085,100.0,1000000.0,386,16.083333333333332,8.0,1,72,42,1.75,1.0,1,7
